2024-06-29 21:26:23 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2024-06-29 21:26:23 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2024-06-29 21:26:23 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2024-06-29 21:26:23 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4+deb10u1
2024-06-29 21:26:23 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2024-06-29 21:26:23 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2024-06-29 21:26:23 install libgnutls30:amd64 <none> 3.6.7-4+deb10u8
2024-06-29 21:26:23 status half-installed libgnutls30:amd64 3.6.7-4+deb10u8
2024-06-29 21:26:23 status unpacked libgnutls30:amd64 3.6.7-4+deb10u8
2024-06-29 21:26:23 install libgpg-error0:amd64 <none> 1.35-1
2024-06-29 21:26:23 status half-installed libgpg-error0:amd64 1.35-1
2024-06-29 21:26:23 status unpacked libgpg-error0:amd64 1.35-1
2024-06-29 21:26:23 install libhogweed4:amd64 <none> 3.4.1-1+deb10u1
2024-06-29 21:26:23 status half-installed libhogweed4:amd64 3.4.1-1+deb10u1
2024-06-29 21:26:23 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2024-06-29 21:26:23 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2024-06-29 21:26:23 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2024-06-29 21:26:23 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2024-06-29 21:26:23 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2024-06-29 21:26:23 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2024-06-29 21:26:23 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2024-06-29 21:26:23 install liblzma5:amd64 <none> 5.2.4-1+deb10u1
2024-06-29 21:26:23 status half-installed liblzma5:amd64 5.2.4-1+deb10u1
2024-06-29 21:26:23 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2024-06-29 21:26:23 install libmount1:amd64 <none> 2.33.1-0.1
2024-06-29 21:26:23 status half-installed libmount1:amd64 2.33.1-0.1
2024-06-29 21:26:23 status unpacked libmount1:amd64 2.33.1-0.1
2024-06-29 21:26:23 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2024-06-29 21:26:23 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2024-06-29 21:26:23 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2024-06-29 21:26:23 install libnettle6:amd64 <none> 3.4.1-1+deb10u1
2024-06-29 21:26:23 status half-installed libnettle6:amd64 3.4.1-1+deb10u1
2024-06-29 21:26:23 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
2024-06-29 21:26:23 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2024-06-29 21:26:23 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2024-06-29 21:26:23 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
